2015-06-03 07:45:03,715 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ifes.poo2:rsdao:0.0.1-SNAPSHOT @ D:\_BASE\_SISTEMAS\poo2\rsdao\pom.xml.
2015-06-03 07:45:05,617 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rsdao/src/main/java
2015-06-03 07:45:05,620 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rsdao/src/main/resources
2015-06-03 07:45:05,621 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rsdao/src/test/java
2015-06-03 07:45:05,622 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rsdao/src/test/resources
2015-06-03 07:45:05,626 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ifes.poo2:rsdao:0.0.1-SNAPSHOT @ D:\_BASE\_SISTEMAS\poo2\rsdao\pom.xml.
2015-06-03 07:45:07,852 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ifes.poo2:rsdao:0.0.1-SNAPSHOT @ D:\_BASE\_SISTEMAS\poo2\rsdao\pom.xml.
2015-06-03 07:45:08,140 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-03 07:45:08,158 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-06-03 07:45:08,161 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-03 07:45:08,163 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-06-03 07:45:09,404 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ifes.poo2:rsdao:0.0.1-SNAPSHOT @ D:\_BASE\_SISTEMAS\poo2\rsdao\pom.xml.
2015-06-03 07:45:11,000 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-03 07:45:11,003 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-06-03 07:45:11,005 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-03 07:45:11,005 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
